Trip_no,Trip_time,ax,ay,az,gx,gy,gz,mx,my,mz,speed,GPS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,resultant,mob_id_id
21,10:22:05,-1.134253,4.969166,8.5143795,-0.001997312,0.010519176,0.006657707,-47.381252,11.400001,-4.2000003,0,0,0.006389976,0.022658825,0.009644508,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,10:22:05,-1.2587515,4.83928,8.706514,-0.008921326,0.017443191,0,-47.362503,11.400001,-4.1625004,0,0,0.046129346,-0.01895094,0.03953266,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11:07:18,5.122993,2.5635915,9.218874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11:07:18,4.590882,2.405574,9.022549,-0.011983871,-0.002130466,0.015978495,4.40625,-49.312504,31.743752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11:07:18,3.7960067,3.1387985,7.2687964,-0.017043728,0.014247492,-0.000665771,3.6750002,-49.443752,31.10625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11:07:18,4.3658266,2.5683799,7.8344264,-0.04487294,0.04713656,0.030359142,3.5812502,-49.2,30.300001,0,0,0.012454033,-0.17447114,0.23746967,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11:07:18,4.471172,2.5300727,9.515755,0.07296846,-0.08641703,-0.04220986,3.4687502,-49.031254,30.075,0,0,-0.51220036,-0.37121224,-0.39963818,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11:07:19,4.3514614,2.956839,7.3071036,-0.026364516,0.051530648,0.000932079,3.45,-48.99375,29.98125,0,0,0.0995121,-0.1055727,0.24184704,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11:07:19,3.9492357,2.094328,7.5327573,0.000665771,0.004660395,0.010785485,3.5062501,-48.9,30.112501,0,0,-0.11435795,-0.29963732,0.28180504,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11:07:19,5.391144,3.8001966,7.3071036,0.008122402,-0.012782796,0.002396774,3.54375,-49.031254,30.075,0,0,-0.32145023,-0.25758386,0.058176994,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11:07:19,4.7201686,3.4452562,8.548497,-0.066843376,0.010785485,0.004926703,3.7125,-49.125004,30.16875,0,0,-0.16337872,-0.23463511,-0.1347909,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11:07:20,4.0402155,1.941099,8.078635,0.009320789,-0.042343013,-0.000133154,3.61875,-49.143753,30.056252,0,0,0.21076632,0.32161117,0.18077564,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11:07:20,6.339846,3.2824504,7.796119,0.013182258,0.004260932,0.02037258,3.6000001,-49.0875,29.94375,0,0,-0.050013542,0.13118815,-0.08403492,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11:07:20,5.2235494,2.6743233,7.8344264,0.003062545,0.011717564,-0.0258319,3.7687502,-48.9,30.093752,0,0,-0.4253459,-0.649894,-0.095182896,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11:07:20,5.2618566,3.1292217,7.662044,-0.011717564,0.015712187,0.015046417,3.6750002,-49.068752,30.000002,0,0,0.5002885,0.44268775,0.18667889,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,11:07:20,4.7638626,2.5971103,8.102577,0.049133874,-0.023435127,-0.008122402,3.6937501,-49.031254,29.925001,0,0,-0.26703262,-0.29997325,-0.041234016,0,0,0,0,0,0,0,0,0,0,0,0,0,1
